hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,is_repeated_guest,agent,company,days_in_waiting_list,reservation_status_date
Resort Hotel,1,9,2016,April,16,15,0,1,2,0,BB,PRT,0,240,NULL,0,4/6/2016
Resort Hotel,0,52,2016,August,34,17,2,5,2,0,BB,CHE,0,240,NULL,0,8/24/2016
Resort Hotel,0,1,2017,March,10,7,0,1,1,0,BB,PRT,0,NULL,511,0,3/8/2017
City Hotel,1,277,2016,November,46,7,1,2,2,0,BB,PRT,0,NULL,NULL,0,4/4/2016
City Hotel,1,56,2017,February,5,1,0,3,2,0,BB,PRT,0,29,NULL,0,12/7/2016
City Hotel,1,32,2017,May,21,22,1,2,2,2,BB,GBR,0,9,NULL,0,5/8/2017
City Hotel,1,355,2015,October,41,7,0,2,2,0,BB,PRT,0,1,NULL,0,7/2/2015
City Hotel,0,15,2016,February,8,19,0,1,1,0,BB,PRT,0,NULL,67,0,2/20/2016
City Hotel,0,51,2016,May,20,11,0,4,2,1,BB,FRA,0,9,NULL,0,5/15/2016
City Hotel,0,7,2016,June,25,13,1,2,2,0,SC,ITA,0,9,NULL,0,6/16/2016
City Hotel,0,52,2017,January,2,14,2,1,2,0,BB,KOR,0,9,NULL,0,1/17/2017
City Hotel,0,158,2017,July,30,24,1,4,2,0,BB,GBR,0,28,NULL,0,7/29/2017
Resort Hotel,0,34,2015,July,29,12,2,3,2,0,HB,ESP,0,240,NULL,0,7/17/2015
Resort Hotel,0,235,2016,May,23,31,1,5,2,0,BB,IRL,0,156,NULL,0,6/6/2016
Resort Hotel,1,18,2017,July,30,28,0,2,2,2,BB,CHN,0,240,NULL,0,7/11/2017
Resort Hotel,0,1,2016,May,21,20,1,2,2,0,HB,NULL,0,NULL,NULL,0,5/23/2016
Resort Hotel,0,26,2016,July,29,12,2,7,2,0,HB,GBR,0,NULL,NULL,0,7/21/2016
Resort Hotel,0,172,2016,July,31,24,2,4,2,0,HB,ESP,0,314,NULL,0,7/30/2016
Resort Hotel,0,26,2017,January,1,6,2,2,2,0,HB,GBR,0,241,NULL,0,1/10/2017
Resort Hotel,0,4,2017,April,14,3,1,4,2,0,HB,GBR,0,40,NULL,0,4/8/2017
Resort Hotel,0,0,2017,April,16,21,0,2,2,0,BB,BGR,0,240,NULL,0,4/23/2017
Resort Hotel,0,2,2017,July,30,25,0,5,2,0,HB,PRT,0,240,NULL,0,7/30/2017
City Hotel,1,178,2016,September,37,9,0,2,1,0,BB,PRT,0,29,NULL,0,3/23/2016
City Hotel,1,267,2016,October,40,1,1,1,2,0,BB,IRL,0,9,NULL,0,2/17/2016
City Hotel,1,20,2016,October,41,4,0,3,2,0,SC,BRA,0,9,NULL,0,9/15/2016
City Hotel,1,261,2016,December,53,26,1,5,2,0,BB,BRA,0,9,NULL,0,12/2/2016
City Hotel,1,240,2017,May,21,23,0,4,2,0,SC,CN,0,9,NULL,0,5/14/2017
City Hotel,1,270,2017,July,27,7,0,2,2,0,HB,ITA,0,9,NULL,0,3/27/2017
City Hotel,1,66,2017,August,35,27,1,0,1,0,SC,USA,0,195,NULL,0,6/23/2017
City Hotel,0,1,2016,June,26,20,1,0,2,0,BB,GBR,0,9,NULL,0,6/21/2016
City Hotel,0,301,2016,July,31,30,1,1,1,0,HB,ROU,0,6,NULL,0,8/1/2016
City Hotel,0,57,2017,June,24,15,0,2,2,0,BB,DEU,0,9,NULL,0,6/17/2017
City Hotel,0,78,2017,July,28,15,1,1,1,2,BB,DNK,0,NULL,NULL,0,7/17/2017
City Hotel,0,56,2017,August,33,13,1,0,1,0,SC,GBR,0,9,NULL,0,8/14/2017
City Hotel,0,129,2017,August,34,23,1,4,2,0,BB,FRA,0,14,NULL,0,8/28/2017
Resort Hotel,0,16,2015,July,29,15,0,3,2,0,BB,PRT,0,NULL,NULL,0,7/18/2015
Resort Hotel,0,12,2015,December,51,13,1,0,2,0,BB,IRL,0,240,NULL,0,12/14/2015
Resort Hotel,0,39,2016,March,12,15,0,1,1,0,BB,PRT,0,240,NULL,0,3/16/2016
Resort Hotel,0,0,2016,November,47,14,1,0,2,0,BB,PRT,0,NULL,NULL,0,11/15/2016
Resort Hotel,0,17,2016,November,48,25,0,2,2,2,BB,PRT,0,196,NULL,0,11/27/2016
Resort Hotel,0,128,2017,April,15,13,2,5,1,0,BB,IRL,0,240,NULL,0,4/20/2017
Resort Hotel,0,99,2017,April,17,27,2,5,2,0,HB,GBR,0,40,NULL,0,5/4/2017
City Hotel,1,9,2015,September,37,11,0,1,2,0,BB,PRT,0,9,NULL,0,9/7/2015
City Hotel,1,87,2015,September,39,25,2,3,2,0,BB,PRT,0,1,NULL,0,9/9/2015
City Hotel,0,164,2015,October,40,2,0,2,1,0,BB,PRT,0,19,NULL,0,10/4/2015
City Hotel,0,48,2015,October,44,25,2,3,2,0,HB,PRT,0,66,NULL,0,10/30/2015
City Hotel,1,122,2016,March,14,27,2,1,2,0,HB,PRT,0,26,NULL,0,3/27/2016
City Hotel,1,70,2017,February,7,16,0,3,2,0,BB,GBR,0,9,NULL,0,1/19/2017
City Hotel,1,73,2017,March,12,22,0,4,2,0,BB,DEU,0,9,NULL,0,1/9/2017
City Hotel,1,16,2017,June,22,1,0,3,2,0,SC,ITA,0,9,NULL,0,5/23/2017
City Hotel,1,159,2017,July,27,8,1,1,2,0,SC,IRL,0,9,NULL,0,3/1/2017
City Hotel,0,19,2015,October,41,5,1,0,2,0,BB,CN,0,7,NULL,0,10/6/2015
